constructor_id,constructor_url,constructor_name,constructor_nationality,new_id
ewing,http://en.wikipedia.org/wiki/Ewing_(constructor),Ewing,American,ewing
ferguson,http://en.wikipedia.org/wiki/Ferguson_Research_Ltd.,Ferguson,British,ferguson
fittipaldi,http://en.wikipedia.org/wiki/Fittipaldi_%28constructor%29,Fittipaldi,Brazilian,fittipaldi
fondmetal,http://en.wikipedia.org/wiki/Fondmetal,Fondmetal,Italian,fondmetal
footwork,http://en.wikipedia.org/wiki/Footwork_Arrows,Footwork,British,footwork
forti,http://en.wikipedia.org/wiki/Forti,Forti,Italian,forti
politoys,http://en.wikipedia.org/wiki/Frank_Williams_Racing_Cars,Politoys,British,politoys
frazer_nash,http://en.wikipedia.org/wiki/Frazer_Nash,Frazer Nash,British,frazer_nash
fry,http://en.wikipedia.org/wiki/Fry_(racing_team),Fry,British,fry
gilby,http://en.wikipedia.org/wiki/Gilby,Gilby,British,gilby
gordini,http://en.wikipedia.org/wiki/Gordini,Gordini,French,gordini
haas,http://en.wikipedia.org/wiki/Haas_F1_Team,Haas F1 Team,American,haas
hall,http://en.wikipedia.org/wiki/Hall_(constructor),Hall,American,hall
hwm,http://en.wikipedia.org/wiki/Hersham_and_Walton_Motors,HWM,British,hwm
hesketh,http://en.wikipedia.org/wiki/Hesketh_Racing,Hesketh,British,hesketh
hill,http://en.wikipedia.org/wiki/Hill_(constructor),Embassy Hill,British,hill
hrt,http://en.wikipedia.org/wiki/Hispania_Racing,HRT,Spanish,hrt
honda,http://en.wikipedia.org/wiki/Honda_Racing_F1,Honda,Japanese,honda
iso_marlboro,http://en.wikipedia.org/wiki/Iso_Marlboro,Iso Marlboro,British,iso_marlboro
jaguar,http://en.wikipedia.org/wiki/Jaguar_Racing,Jaguar,British,jaguar
jbw,http://en.wikipedia.org/wiki/JBW,JBW,British,jbw
jordan,http://en.wikipedia.org/wiki/Jordan_Grand_Prix,Jordan,Irish,jordan
kauhsen,http://en.wikipedia.org/wiki/Kauhsen,Kauhsen,German,kauhsen
klenk,http://en.wikipedia.org/wiki/Klenk,Klenk,German,klenk
kojima,http://en.wikipedia.org/wiki/Kojima_Engineering,Kojima,Japanese,kojima
kurtis_kraft,http://en.wikipedia.org/wiki/Kurtis_Kraft,Kurtis Kraft,American,kurtis_kraft
kuzma,http://en.wikipedia.org/wiki/Kuzma_(constructor),Kuzma,American,kuzma
lancia,http://en.wikipedia.org/wiki/Lancia_in_Formula_One,Lancia,Italian,lancia
langley,http://en.wikipedia.org/wiki/Langley_(constructor),Langley,American,langley
larrousse,http://en.wikipedia.org/wiki/Larrousse,Larrousse,French,larrousse
lds-alfa_romeo,http://en.wikipedia.org/wiki/LDS_(automobile),LDS-Alfa Romeo,South African,lds
lds-climax,http://en.wikipedia.org/wiki/LDS_(automobile),LDS-Climax,South African,lds
lds,http://en.wikipedia.org/wiki/LDS_(automobile),LDS,South African,lds
lec,http://en.wikipedia.org/wiki/LEC_(Formula_One),LEC,British,lec
lesovsky,http://en.wikipedia.org/wiki/Lesovsky,Lesovsky,American,lesovsky
leyton,http://en.wikipedia.org/wiki/Leyton_House,Leyton House,British,leyton
life,http://en.wikipedia.org/wiki/Life_(Racing_Team),Life,Italian,life
ligier,http://en.wikipedia.org/wiki/Ligier,Ligier,French,ligier
lotus_f1,http://en.wikipedia.org/wiki/Lotus_F1,Lotus F1,British,lotus_f1
lotus_racing,http://en.wikipedia.org/wiki/Lotus_Racing,Lotus,Malaysian,lotus_racing
lyncar,http://en.wikipedia.org/wiki/Lyncar,Lyncar,British,lyncar
maki,http://en.wikipedia.org/wiki/Maki_(cars),Maki,Japanese,maki
manor,http://en.wikipedia.org/wiki/Manor_Motorsport,Manor Marussia,British,manor
march-alfa_romeo,http://en.wikipedia.org/wiki/March_Engineering,March-Alfa Romeo,British,march
march-ford,http://en.wikipedia.org/wiki/March_Engineering,March-Ford,British,march
march,http://en.wikipedia.org/wiki/March_Engineering,March,British,march
marchese,http://en.wikipedia.org/wiki/Marchese_(constructor),Marchese,American,marchese
martini,http://en.wikipedia.org/wiki/Martini_(cars),Martini,French,martini
marussia,http://en.wikipedia.org/wiki/Marussia_F1,Marussia,Russian,marussia
maserati,http://en.wikipedia.org/wiki/Maserati,Maserati,Italian,maserati
lola,http://en.wikipedia.org/wiki/MasterCard_Lola,Lola,British,lola
matra,http://en.wikipedia.org/wiki/Matra,Matra,French,matra-ford
matra-ford,http://en.wikipedia.org/wiki/Matra,Matra-Ford,French,matra-ford
mcguire,http://en.wikipedia.org/wiki/McGuire_(Formula_One),McGuire,Australian,mcguire
mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British,mclaren
mclaren-alfa_romeo,http://en.wikipedia.org/wiki/McLaren_(racing),McLaren-Alfa Romeo,British,mclaren
mclaren-brm,http://en.wikipedia.org/wiki/McLaren_(racing),McLaren-BRM,British,mclaren
mercedes,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German,mercedes
merzario,http://en.wikipedia.org/wiki/Merzario,Merzario,Italian,merzario
meskowski,http://en.wikipedia.org/wiki/Meskowski,Meskowski,American,meskowski
spyker_mf1,http://en.wikipedia.org/wiki/Midland_F1_Racing,Spyker MF1,Dutch,mf1
mf1,http://en.wikipedia.org/wiki/Midland_F1_Racing,MF1,Russian,mf1
minardi,http://en.wikipedia.org/wiki/Minardi,Minardi,Italian,minardi
lambo,http://en.wikipedia.org/wiki/Modena_(racing_team),Lambo,Italian,lambo
mbm,http://en.wikipedia.org/wiki/Monteverdi_Basel_Motors,MBM,Swiss,mbm
moore,http://en.wikipedia.org/wiki/Moore_(constructor),Moore,American,moore
nichels,http://en.wikipedia.org/wiki/Nichels,Nichels,American,nichels
osca,http://en.wikipedia.org/wiki/Officine_Specializate_Costruzione_Automobili,OSCA,Italian,osca
olson,http://en.wikipedia.org/wiki/Olson_(constructor),Olson,American,olson
onyx,http://en.wikipedia.org/wiki/Onyx_(racing_team),Onyx,British,onyx
osella,http://en.wikipedia.org/wiki/Osella,Osella,Italian,osella
pacific,http://en.wikipedia.org/wiki/Pacific_Racing,Pacific,British,pacific
pankratz,http://en.wikipedia.org/wiki/Pankratz,Pankratz,American,pankratz
parnelli,http://en.wikipedia.org/wiki/Parnelli,Parnelli,American,parnelli
pawl,http://en.wikipedia.org/wiki/Pawl_(constructor),Pawl,American,pawl
penske,http://en.wikipedia.org/wiki/Penske_Racing,Penske,American,penske
phillips,http://en.wikipedia.org/wiki/Phillips_(constructor),Phillips,American,phillips
porsche,http://en.wikipedia.org/wiki/Porsche_in_Formula_One,Porsche,German,porsche
prost,http://en.wikipedia.org/wiki/Prost_Grand_Prix,Prost,French,prost
protos,http://en.wikipedia.org/wiki/Protos_(constructor),Protos,British,protos
racing_point,http://en.wikipedia.org/wiki/Racing_Point_F1_Team,Racing Point,British,racing_point
force_india,http://en.wikipedia.org/wiki/Racing_Point_Force_India,Force India,Indian,force_india
rae,http://en.wikipedia.org/wiki/Rae_(motorsport),Rae,American,rae
ram,http://en.wikipedia.org/wiki/RAM_Racing,RAM,British,ram
rb,http://en.wikipedia.org/wiki/RB_Formula_One_Team,RB F1 Team,Italian,rb
re,http://en.wikipedia.org/wiki/RE_%28automobile%29,RE,Rhodesian,re
rebaque,http://en.wikipedia.org/wiki/Rebaque,Rebaque,Mexican,rebaque
red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian,red_bull
renault,http://en.wikipedia.org/wiki/Renault_in_Formula_One,Renault,French,alpine
rial,http://en.wikipedia.org/wiki/Rial_%28racing_team%29,Rial,German,rial
sauber,http://en.wikipedia.org/wiki/Sauber_Motorsport,Sauber,Swiss,sauber
scarab,http://en.wikipedia.org/wiki/Scarab_(constructor),Scarab,American,scarab
schroeder,http://en.wikipedia.org/wiki/Schroeder_(constructor),Schroeder,American,schroeder
scirocco,http://en.wikipedia.org/wiki/Scirocco-Powell,Scirocco,British,scirocco
alphatauri,http://en.wikipedia.org/wiki/Scuderia_AlphaTauri,AlphaTauri,Italian,rb
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,ferrari
milano,http://en.wikipedia.org/wiki/Scuderia_Milano,Milano,Italian,milano
toro_rosso,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,Toro Rosso,Italian,rb
shadow-matra,http://en.wikipedia.org/wiki/Shadow_Racing_Cars,Shadow-Matra,British,shadow
shadow,http://en.wikipedia.org/wiki/Shadow_Racing_Cars,Shadow,British,shadow
shadow-ford,http://en.wikipedia.org/wiki/Shadow_Racing_Cars,Shadow-Ford,British,shadow
shannon,http://en.wikipedia.org/wiki/Shannon_(Formula_One),Shannon,British,shannon
sherman,http://en.wikipedia.org/wiki/Sherman_(constructor),Sherman,American,sherman
simca,http://en.wikipedia.org/wiki/Simca,Simca,French,simca
simtek,http://en.wikipedia.org/wiki/Simtek,Simtek,British,simtek
snowberger,http://en.wikipedia.org/wiki/Snowberger,Snowberger,American,snowberger
spirit,http://en.wikipedia.org/wiki/Spirit_(racing_team),Spirit,British,spirit
spyker,http://en.wikipedia.org/wiki/Spyker_F1,Spyker,Dutch,spyker
stebro,http://en.wikipedia.org/wiki/Stebro,Stebro,Canadian,stebro
stevens,http://en.wikipedia.org/wiki/Stevens_(constructor),Stevens,American,stevens
stewart,http://en.wikipedia.org/wiki/Stewart_Grand_Prix,Stewart,British,stewart
super_aguri,http://en.wikipedia.org/wiki/Super_Aguri_F1,Super Aguri,Japanese,super_aguri
surtees,http://en.wikipedia.org/wiki/Surtees,Surtees,British,surtees
sutton,http://en.wikipedia.org/wiki/Sutton_(constructor),Sutton,American,sutton
lago,http://en.wikipedia.org/wiki/Talbot-Lago,Talbot-Lago,French,lago
lotus-brm,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-BRM,British,team_lotus
lotus-pw,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-Pratt &amp; Whitney,British,team_lotus
lotus-ford,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-Ford,British,team_lotus
lotus-climax,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-Climax,British,team_lotus
lotus-maserati,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-Maserati,British,team_lotus
team_lotus,http://en.wikipedia.org/wiki/Team_Lotus,Team Lotus,British,team_lotus
lotus-borgward,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-Borgward,British,team_lotus
mclaren-ford,http://en.wikipedia.org/wiki/Team_McLaren,McLaren-Ford,British,mclaren
mclaren-seren,http://en.wikipedia.org/wiki/Team_McLaren,McLaren-Serenissima,British,mclaren
tec-mec,http://en.wikipedia.org/wiki/Tec-Mec,Tec-Mec,Italian,tec-mec
tecno,http://en.wikipedia.org/wiki/Tecno,Tecno,Italian,tecno
theodore,http://en.wikipedia.org/wiki/Theodore_Racing,Theodore,Hong Kong,theodore
token,http://en.wikipedia.org/wiki/Token_(Racing_team),Token,British,token
toleman,http://en.wikipedia.org/wiki/Toleman,Toleman,British,toleman
toyota,http://en.wikipedia.org/wiki/Toyota_Racing,Toyota,Japanese,toyota
trevis,http://en.wikipedia.org/wiki/Trevis,Trevis,American,trevis
trojan,http://en.wikipedia.org/wiki/Trojan_(Racing_team),Trojan,British,trojan
turner,http://en.wikipedia.org/wiki/Turner_(constructor),Turner,American,turner
tyrrell,http://en.wikipedia.org/wiki/Tyrrell_Racing,Tyrrell,British,tyrrell
vanwall,http://en.wikipedia.org/wiki/Vanwall,Vanwall,British,vanwall
veritas,http://en.wikipedia.org/wiki/Veritas_(constructor),Veritas,German,veritas
virgin,http://en.wikipedia.org/wiki/Virgin_Racing,Virgin,British,virgin
wolf,http://en.wikipedia.org/wiki/Walter_Wolf_Racing,Wolf,Canadian,wolf
wetteroth,http://en.wikipedia.org/wiki/Wetteroth,Wetteroth,American,wetteroth
williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British,williams
zakspeed,http://en.wikipedia.org/wiki/Zakspeed,Zakspeed,German,zakspeed
